Census Tract,State,County,Urban,2010 Population,Housing Units,Low Income,Poverty Rate,Median Family Income,Food desert distance,Is there a food desert at this distance?
48453001780,Texas,Travis,0,3825,1664,0,8.19999999999999,80795,Food Desert at 1 & 10 miles,0
48453001781,Texas,Travis,1,2251,928,0,5.4,130104,Food Desert at 1 & 10 miles,0
48453001782,Texas,Travis,1,4955,1740,0,12.3,122284,Food Desert at 1 & 10 miles,0
48453001783,Texas,Travis,1,5180,1881,0,4,126107,Food Desert at 1 & 10 miles,0
48453001784,Texas,Travis,1,5552,1804,0,3,161607,Food Desert at 1 & 10 miles,0
48453001785,Texas,Travis,1,4025,2153,0,6.5,66545,Food Desert at 1 & 10 miles,0
48453001786,Texas,Travis,1,4676,2600,0,7.5,73005,Food Desert at 1 & 10 miles,0
48453001804,Texas,Travis,1,6362,2388,1,35.2999999999999,33119,Food Desert at 1 & 10 miles,1
48453001805,Texas,Travis,1,4750,1659,1,34,28538,Food Desert at 1 & 10 miles,0
48453001806,Texas,Travis,1,5550,2060,1,32.7,24866,Food Desert at 1 & 10 miles,0
48453001811,Texas,Travis,1,3546,1283,1,45.2999999999999,31462,Food Desert at 1 & 10 miles,0
48453001812,Texas,Travis,1,7549,2719,1,37,27056,Food Desert at 1 & 10 miles,0
48453001813,Texas,Travis,1,5853,1938,1,32.2,29556,Food Desert at 1 & 10 miles,1
48453001817,Texas,Travis,1,3616,2046,0,10.6999999999999,73047,Food Desert at 1 & 10 miles,0
48453001818,Texas,Travis,1,5341,2027,1,38.2999999999999,37075,Food Desert at 1 & 10 miles,0
48453001819,Texas,Travis,1,4265,1312,1,43.8999999999999,26429,Food Desert at 1 & 10 miles,0
48453001820,Texas,Travis,1,7812,2641,1,37.1,32102,Food Desert at 1 & 10 miles,0
48453001821,Texas,Travis,1,5204,1783,1,24.1,47632,Food Desert at 1 & 10 miles,1
48453001822,Texas,Travis,1,6573,2183,1,27.1,40086,Food Desert at 1 & 10 miles,0
48453001823,Texas,Travis,1,6478,1948,1,35.6,29757,Food Desert at 1 & 10 miles,0
48453001824,Texas,Travis,1,1734,784,1,12.3,59896,Food Desert at 1 & 10 miles,0
48453001826,Texas,Travis,1,2276,1137,0,8.3,72946,Food Desert at 1 & 10 miles,0
48453001828,Texas,Travis,1,3943,1660,0,2,106322,Food Desert at 1 & 10 miles,0
48453001829,Texas,Travis,1,2443,1407,0,6,77009,Food Desert at 1 & 10 miles,0
48453001832,Texas,Travis,1,2509,1116,1,21.8999999999999,36750,Food Desert at 1 & 10 miles,1
48453001833,Texas,Travis,1,7089,2275,1,29.6999999999999,51213,Food Desert at 1 & 10 miles,1
48453001834,Texas,Travis,1,8204,3549,0,10.8,66081,Food Desert at 1 & 10 miles,0
48453001835,Texas,Travis,1,5000,1819,1,30.8,46620,Food Desert at 1 & 10 miles,1
48453001839,Texas,Travis,1,7267,3116,0,10.1999999999999,72828,Food Desert at 1 & 10 miles,0
48453001840,Texas,Travis,1,9004,2899,0,15.6999999999999,62902,Food Desert at 1 & 10 miles,0
48453001841,Texas,Travis,1,16495,5149,0,12.4,80088,Food Desert at 1 & 10 miles,0
48453001842,Texas,Travis,0,7535,2445,1,14.5,57981,Food Desert at 1 & 10 miles,0
48453001843,Texas,Travis,1,2272,917,0,15.6,86250,Food Desert at 1 & 10 miles,0
48453001844,Texas,Travis,1,3668,1561,1,14.3,43562,Food Desert at 1 & 10 miles,1
48453001845,Texas,Travis,1,3111,1478,1,20.1,75444,Food Desert at 1 & 10 miles,0
48453001846,Texas,Travis,1,2379,992,0,12.1999999999999,101250,Food Desert at 1 & 10 miles,0
48453001847,Texas,Travis,1,6752,2921,0,16.1,69880,Food Desert at 1 & 10 miles,0
48453001848,Texas,Travis,1,4515,1820,0,11.5,65653,Food Desert at 1 & 10 miles,0
