CensusTract,State,County,Urban,POP2010,OHU2010,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20
48453001848,Texas,Travis,True,4515,1820,False,False,False,False,False,11.5,65653,False,True,False,True,False,False,False
48453001849,Texas,Travis,True,5627,3306,False,False,False,False,False,8.3,67040,False,True,False,True,False,False,False
48453001850,Texas,Travis,True,3890,2040,False,True,False,False,True,11.5,50746,False,True,False,True,False,False,False
48453001851,Texas,Travis,True,9078,3946,False,False,False,False,False,13.4,76179,True,True,True,True,True,False,False
48453001853,Texas,Travis,True,3255,1298,False,False,False,False,False,3.9,92407,False,True,False,True,False,False,False
48453001854,Texas,Travis,False,4915,1514,False,False,False,False,False,12.6,70625,False,False,False,False,False,False,False
48453001855,Texas,Travis,True,13259,4263,False,False,False,False,False,13.3,67468,True,True,True,True,True,False,False
48453001856,Texas,Travis,False,5308,1761,False,False,False,False,False,7.8,86017,False,False,False,False,False,False,False
48453001857,Texas,Travis,True,5623,2146,True,True,True,True,True,10.6999999999999,61250,True,True,True,True,True,False,False
48453001858,Texas,Travis,True,15316,4914,False,False,False,False,False,1.9,107828,True,True,True,True,True,False,False
48453001859,Texas,Travis,False,1344,466,False,False,False,False,False,8.69999999999999,94438,False,False,False,False,False,False,False
48453001860,Texas,Travis,True,3859,1550,True,True,True,True,True,15.5,55034,True,True,True,True,True,False,False
48453001861,Texas,Travis,True,4545,1511,False,False,False,False,False,7.6,80882,True,True,True,True,True,False,False
48453001862,Texas,Travis,True,5705,1947,False,False,False,False,False,11.1,100398,True,True,True,True,True,False,False
48453001863,Texas,Travis,True,3401,1885,True,True,True,True,True,27.6,34922,True,True,True,True,True,False,False
48453001864,Texas,Travis,True,2814,1532,False,False,False,False,False,12.5,62232,True,True,True,True,True,False,False
48453001901,Texas,Travis,True,5207,2904,False,False,False,False,False,8.19999999999999,114493,True,True,True,True,True,False,False
48453001908,Texas,Travis,False,8403,3442,False,False,False,False,False,12.3,144868,False,False,False,False,False,False,False
48453001910,Texas,Travis,True,4210,1792,False,False,False,False,False,5.9,132177,False,True,False,True,False,False,False
48453001911,Texas,Travis,True,2825,1793,False,False,False,False,False,5.6,89286,False,True,False,True,False,False,False
